step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
54,5.400000,0.919607,-2.356431,1.238778,-2.945159,1.166218,0.530010,0.123440,-0.358508,0.279890,-0.000000,0.279890,1.615321,0.000000
55,5.500000,0.951678,-2.580200,4.574472,-4.237510,1.412133,0.168714,0.186020,-0.445704,0.275120,-0.000000,0.275120,1.636247,0.000000
56,5.600000,0.975798,-2.849780,0.922223,-1.758387,1.396346,-0.003166,0.176967,-0.479217,0.270508,-0.000000,0.270508,1.658024,0.000000
57,5.700000,0.958260,-3.150463,2.135998,-4.641984,1.462062,-0.356436,0.189390,-0.558214,0.266046,-0.000000,0.266047,1.678387,0.000000
58,5.800000,0.950587,-3.463121,5.167765,-5.361069,1.722233,-0.736068,0.250744,-0.640570,0.261728,-0.000000,0.261728,1.697976,0.000000
59,5.900000,0.935138,-3.812533,-0.547857,-3.325168,1.599530,-0.962703,0.213784,-0.681232,0.257545,-0.000000,0.257546,1.718447,0.000000
60,6.000000,0.838979,-4.141238,1.426740,-2.980953,1.608603,-1.154413,0.210757,-0.711636,0.253493,-0.000000,0.253493,1.740839,0.000000
61,6.100000,0.775804,-4.477810,0.884320,-3.041783,1.583174,-1.338891,0.199501,-0.739064,0.249565,-0.000000,0.249565,1.765037,0.000000
62,6.200000,0.740132,-4.735075,0.209977,-7.068480,1.517531,-1.760277,0.179111,-0.821839,0.245756,-0.000000,0.245756,1.785825,0.000000
63,6.300000,0.669796,-5.031092,-0.788538,-3.192033,1.394806,-1.924131,0.146133,-0.840990,0.242060,-0.000000,0.242061,1.807772,0.000000
64,6.400000,0.576004,-5.307014,1.861221,-3.232277,1.436355,-2.081206,0.152352,-0.857840,0.238473,-0.000000,0.238474,1.831323,0.000000
65,6.500000,0.489567,-5.589572,-0.307989,-5.876453,1.348220,-2.384912,0.128845,-0.907396,0.234990,-0.000000,0.234990,1.853844,0.000000
66,6.600000,0.341359,-5.866488,0.884232,-9.509095,1.333493,-2.882900,0.122660,-0.998624,0.231606,-0.000000,0.231606,1.873103,0.000000
67,6.700000,0.173579,-6.142214,1.350300,-6.775920,1.346019,-3.199275,0.122718,-1.046413,0.228318,-0.000000,0.228318,1.892144,0.000000
68,6.800000,-0.008958,-6.355619,-0.415662,-2.137526,1.258452,-3.238272,0.101000,-1.032133,0.225121,-0.000000,0.225121,1.913492,0.000000
69,6.900000,-0.165949,-6.555378,5.164962,-6.548680,1.484814,-3.519494,0.147371,-1.070303,0.222011,-0.000000,0.222012,1.935523,0.000000
70,7.000000,-0.381019,-6.775588,0.611341,-2.427341,1.450924,-3.560873,0.137091,-1.056423,0.218986,-0.000000,0.218987,1.960376,0.000000
71,7.100000,-0.641066,-6.999948,2.198189,-7.234870,1.504254,-3.859246,0.145351,-1.096601,0.216042,-0.000000,0.216042,1.985974,0.000000
72,7.200000,-0.946672,-7.238864,0.082157,-6.873598,1.442225,-4.123707,0.129608,-1.128431,0.213175,-0.000000,0.213175,2.012545,0.000000
73,7.300000,-1.241027,-7.480064,-1.127448,-8.516121,1.319350,-4.461639,0.102056,-1.174088,0.210383,-0.000000,0.210383,2.038836,0.000000
74,7.400000,-1.564076,-7.758704,1.360949,-3.579855,1.331185,-4.527173,0.102382,-1.163706,0.207663,-0.000000,0.207663,2.069503,0.000000
