step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
71,7.100000,-4.917879,1.197466,-2.078624,0.962544,-1.749182,0.709401,-1.003589,0.017226,0.216042,-0.000000,0.216042,2.910801,0.000000
72,7.200000,-4.987368,0.896049,-3.958539,1.261315,-1.961937,0.740446,-1.026700,0.023255,0.213175,-0.000000,0.213176,2.912426,0.000000
73,7.300000,-4.941823,0.617917,-4.828244,-0.418139,-2.209963,0.681712,-1.056183,0.010870,0.210383,-0.000000,0.210383,2.909996,0.000000
74,7.400000,-5.037956,0.250934,-2.112931,4.429782,-2.305061,0.877327,-1.054078,0.049802,0.207663,-0.000000,0.207663,2.908580,0.000000
75,7.500000,-5.060100,-0.081751,-3.314727,1.270883,-2.456815,0.902223,-1.063231,0.053735,0.205012,-0.000000,0.205012,2.906928,0.000000
76,7.600000,-4.940343,-0.356167,-6.477387,2.031604,-2.761226,0.964479,-1.101847,0.064824,0.202427,-0.000000,0.202427,2.902267,0.000000
77,7.700000,-4.898322,-0.512162,-5.679971,2.872029,-3.011775,1.065970,-1.128859,0.083107,0.199906,-0.000000,0.199907,2.896592,0.000000
78,7.800000,-4.938809,-0.948859,-7.370214,-4.069564,-3.334230,0.820371,-1.168679,0.034863,0.197448,-0.000000,0.197448,2.890160,0.000000
79,7.900000,-4.803389,-1.156843,-2.831560,-3.398988,-3.420887,0.617943,-1.163010,-0.003773,0.195048,-0.000000,0.195048,2.882154,0.000000
80,8.000000,-4.828269,-1.487339,-7.671873,-3.516841,-3.736382,0.418385,-1.199924,-0.040685,0.192706,-0.000000,0.192706,2.873688,0.000000
81,8.100000,-4.635161,-1.748328,-5.094525,-5.672738,-3.915315,0.124544,-1.210714,-0.093730,0.190419,-0.000000,0.190419,2.863111,0.000000
82,8.200000,-4.493541,-1.951260,-2.432003,-3.838060,-3.960907,-0.070814,-1.197063,-0.127365,0.188186,-0.000000,0.188186,2.852164,0.000000
83,8.300000,-4.374819,-2.112729,-4.141584,-2.535496,-4.083448,-0.197569,-1.197569,-0.147740,0.186004,-0.000000,0.186004,2.841271,0.000000
84,8.400001,-4.230784,-2.290865,-2.197105,0.061983,-4.110989,-0.199733,-1.181285,-0.145513,0.183872,-0.000000,0.183872,2.832486,0.000000
85,8.500000,-4.116642,-2.419209,-4.691773,-4.361842,-4.250143,-0.402778,-1.184955,-0.178414,0.181788,-0.000000,0.181788,2.823048,0.000000
86,8.600000,-3.887081,-2.527992,-5.730939,-1.560110,-4.429857,-0.471825,-1.195518,-0.187249,0.179751,-0.000000,0.179751,2.815043,0.000000
87,8.700000,-3.675588,-2.488243,-5.086305,-3.790118,-4.573268,-0.637182,-1.199588,-0.212261,0.177758,-0.000000,0.177758,2.806432,0.000000
88,8.800000,-3.446364,-2.521329,-1.501749,-0.883246,-4.552953,-0.668290,-1.175929,-0.213928,0.175810,-0.000000,0.175809,2.799150,0.000000
89,8.900001,-3.278697,-2.419264,-1.649864,-4.800756,-4.539220,-0.868414,-1.154026,-0.243738,0.173903,-0.000000,0.173903,2.790254,0.000000
90,9.000000,-2.960242,-2.320221,-5.891073,-1.050136,-4.707800,-0.899556,-1.162798,-0.244854,0.172037,-0.000000,0.172037,2.784341,0.000000
91,9.100000,-2.696197,-2.265663,-4.905257,-1.227867,-4.827535,-0.936970,-1.163361,-0.246964,0.170211,-0.000000,0.170210,2.781376,0.000000
92,9.200000,-2.476053,-2.049372,0.241835,0.595475,-4.725526,-0.896102,-1.128118,-0.236381,0.168423,-0.000000,0.168422,2.778650,0.000000
93,9.300000,-2.060946,-1.939777,-4.834558,-0.784959,-4.838180,-0.914124,-1.128093,-0.235484,0.166672,-0.000000,0.166671,2.780586,0.000000
94,9.400001,-1.861685,-1.767306,-3.536937,-0.867608,-4.892674,-0.934783,-1.118878,-0.235028,0.164956,-0.000000,0.164956,2.784403,0.000000
95,9.500000,-1.535875,-1.489814,-1.915926,-1.794472,-4.878487,-0.992418,-1.099165,-0.240365,0.163276,-0.000000,0.163276,2.790601,0.000000
96,9.600000,-1.203927,-1.223983,0.610920,0.392630,-4.762149,-0.959518,-1.064151,-0.231554,0.161630,-0.000000,0.161629,2.798616,0.000000
97,9.700000,-0.910435,-0.936079,-2.765677,-1.569734,-4.784439,-1.006158,-1.051266,-0.235151,0.160016,-0.000000,0.160016,2.809596,0.000000
98,9.800000,-0.634302,-0.612949,-1.699906,0.550570,-4.763230,-0.967082,-1.032110,-0.225661,0.158434,-0.000000,0.158434,2.823075,0.000000
99,9.900001,-0.294916,-0.248454,1.060750,-2.358365,-4.633971,-1.043330,-0.997214,-0.233719,0.156883,-0.000000,0.156883,2.838957,0.000000
