step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
81,8.100000,-3.061291,-3.979586,-3.520655,-7.903996,-6.302469,-0.812051,-1.428034,-0.699530,0.190419,-0.000000,0.190419,2.266690,0.000000
82,8.200000,-2.843527,-4.116362,-0.781988,-6.003162,-6.178833,-1.122936,-1.379847,-0.743103,0.188186,-0.000000,0.188185,2.293376,0.000000
83,8.300000,-2.659329,-4.231828,-2.426095,-4.654594,-6.135895,-1.358016,-1.347516,-0.771833,0.186004,-0.000000,0.186004,2.319771,0.000000
84,8.400001,-2.460449,-4.386676,-0.426770,-2.033828,-6.002016,-1.462718,-1.300076,-0.776693,0.183872,-0.000000,0.183872,2.346511,0.000000
85,8.500000,-2.301995,-4.516514,-2.877126,-6.459147,-5.984097,-1.763929,-1.274256,-0.815711,0.181788,-0.000000,0.181788,2.372682,0.000000
86,8.600000,-2.038511,-4.653104,-3.882369,-3.685222,-6.011351,-1.928173,-1.256973,-0.829975,0.179751,-0.000000,0.179750,2.400784,0.000000
87,8.700000,-1.803290,-4.668439,-3.214007,-5.970314,-6.007152,-2.187113,-1.234815,-0.859987,0.177758,-0.000000,0.177758,2.428974,0.000000
88,8.800000,-1.560294,-4.784273,0.384321,-3.146190,-5.844285,-2.311486,-1.186518,-0.866459,0.175810,-0.000000,0.175809,2.457260,0.000000
89,8.900001,-1.388520,-4.792412,0.240314,-7.173903,-5.693245,-2.605762,-1.141537,-0.901089,0.173903,-0.000000,0.173903,2.483605,0.000000
90,9.000000,-1.075297,-4.830231,-4.006128,-3.560145,-5.729929,-2.733042,-1.128758,-0.907221,0.172037,-0.000000,0.172037,2.512414,0.000000
91,9.100000,-0.825445,-4.937816,-3.034505,-3.900019,-5.723303,-2.869561,-1.109260,-0.914693,0.170211,-0.000000,0.170211,2.542895,0.000000
92,9.200000,-0.628048,-4.907007,2.089840,-2.262160,-5.500580,-2.931604,-1.055407,-0.909944,0.168423,-0.000000,0.168422,2.572087,0.000000
93,9.300000,-0.243794,-5.003767,-3.017405,-3.848949,-5.498255,-3.057031,-1.038181,-0.915442,0.166672,-0.000000,0.166671,2.604336,0.000000
94,9.400001,-0.083006,-5.055557,-1.758258,-4.155859,-5.443556,-3.190114,-1.013134,-0.922005,0.164957,-0.000000,0.164956,2.636668,0.000000
95,9.500000,0.197221,-5.016815,-0.182831,-5.321473,-5.325998,-3.365552,-0.978910,-0.935020,0.163276,-0.000000,0.163276,2.669252,0.000000
96,9.600000,0.477015,-5.000423,2.291863,-3.383811,-5.112114,-3.456014,-0.930663,-0.934550,0.161630,-0.000000,0.161629,2.701514,0.000000
97,9.700000,0.712356,-4.968501,-1.142886,-5.602155,-5.042674,-3.631585,-0.905771,-0.947127,0.160016,-0.000000,0.160016,2.734236,0.000000
98,9.800000,0.924925,-4.903489,-0.140678,-3.739970,-4.935503,-3.726839,-0.875787,-0.947210,0.158434,-0.000000,0.158434,2.766994,0.000000
99,9.900001,1.195942,-4.794639,2.551608,-6.904549,-4.725998,-3.942479,-0.831192,-0.965360,0.156883,-0.000000,0.156883,2.799154,0.000000
