step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
59,5.900000,17.615173,7.668630,16.132179,8.155994,18.216818,7.324208,3.017585,1.053505,0.257544,-0.000000,0.257546,0.822553,0.000000
60,6.000000,17.646139,7.887653,18.233900,9.047938,18.500532,7.532123,3.013147,1.078736,0.253492,-0.000000,0.253493,0.824239,0.000000
61,6.100000,18.056087,8.011428,18.164602,9.447454,18.762081,7.752767,3.003523,1.106032,0.249565,-0.000000,0.249565,0.823072,0.000000
62,6.200000,18.447762,8.425785,17.917606,6.092380,18.992100,7.754562,2.986768,1.080113,0.245755,0.000000,0.245756,0.823725,0.000000
63,6.300000,18.632215,8.446611,17.173882,10.285670,19.162670,8.009210,2.956729,1.114498,0.242060,0.000000,0.242061,0.821597,0.000000
64,6.400000,18.854031,8.663596,20.139248,10.738333,19.498945,8.276723,2.966101,1.150532,0.238473,0.000000,0.238474,0.820527,0.000000
65,6.500000,19.178547,8.791474,18.380991,8.504594,19.712448,8.398404,2.947205,1.152039,0.234989,0.000000,0.234990,0.818140,0.000000
66,6.600000,19.272642,8.960282,19.815516,5.317676,19.996063,8.328559,2.944719,1.110586,0.231605,-0.000000,0.231607,0.820264,0.000000
67,6.700000,19.507404,9.114251,20.684126,8.480545,20.313002,8.441953,2.949677,1.111101,0.228317,-0.000000,0.228319,0.823632,0.000000
68,6.800000,19.758217,9.471984,19.351513,13.690077,20.537256,8.842177,2.934295,1.173990,0.225120,-0.000000,0.225122,0.826213,0.000000
69,6.900000,20.143364,9.667472,25.474276,9.674170,21.088421,8.999237,2.989558,1.182494,0.222011,-0.000000,0.222012,0.830945,0.000000
70,7.000000,20.249773,9.749305,21.242132,14.097551,21.379429,9.390131,2.987875,1.240131,0.218986,-0.000000,0.218987,0.835937,0.000000
71,7.100000,20.399847,9.885469,23.239103,9.650547,21.762526,9.521507,3.005450,1.241667,0.216042,-0.000000,0.216042,0.843917,0.000000
72,7.200000,20.547985,9.986947,21.576813,10.352213,22.037149,9.683326,3.000121,1.249410,0.213175,-0.000000,0.213176,0.853175,0.000000
73,7.300000,20.885487,10.129334,20.999065,9.093278,22.266781,9.770659,2.985847,1.241782,0.210383,0.000000,0.210384,0.860931,0.000000
74,7.400000,21.089842,10.154537,24.014866,14.333385,22.640617,10.125268,3.000907,1.287900,0.207662,-0.000000,0.207663,0.870133,0.000000
75,7.500000,21.269644,10.141036,23.015017,11.493670,22.944527,10.317593,3.001659,1.300448,0.205011,0.000000,0.205012,0.880844,0.000000
76,7.600000,21.669226,10.205368,20.132181,12.593139,23.087177,10.556212,2.970955,1.321614,0.202427,0.000000,0.202427,0.888374,0.000000
77,7.700000,22.093727,10.574497,21.312078,13.958688,23.280714,10.851816,2.951025,1.353066,0.199907,0.000000,0.199906,0.892612,0.000000
78,7.800000,22.338980,10.667405,19.907574,7.546700,23.394743,10.817297,2.916621,1.320798,0.197447,0.000000,0.197447,0.894812,0.000000
79,7.900000,22.718033,10.912490,24.689861,8.670344,23.735336,10.838244,2.925801,1.299946,0.195048,0.000000,0.195048,0.896377,0.000000
80,8.000000,22.872059,11.026740,20.028456,8.997238,23.835230,10.873281,2.890096,1.282349,0.192706,0.000001,0.192706,0.897351,0.000000
81,8.100000,23.199499,11.102822,22.740135,7.178412,24.058357,10.819521,2.878035,1.249033,0.190419,0.000001,0.190419,0.897437,0.000000
82,8.200000,23.560686,11.202869,25.622225,9.316069,24.406206,10.867818,2.888893,1.235179,0.188186,0.000001,0.188186,0.897582,0.000000
83,8.300000,23.874113,11.349052,24.107347,10.926287,24.667759,10.988310,2.884009,1.234639,0.186004,0.000001,0.186004,0.897275,0.000000
84,8.400001,24.155821,11.441460,26.189499,13.794308,25.012859,11.235088,2.894021,1.256415,0.183872,0.000001,0.183872,0.897090,0.000000
85,8.500000,24.312706,11.508326,23.737576,9.565692,25.231148,11.279148,2.881609,1.242176,0.181788,0.000001,0.181788,0.897666,0.000000
86,8.600000,24.543674,11.513779,22.699816,12.481661,25.392601,11.451825,2.859748,1.250537,0.179751,0.000001,0.179751,0.897131,0.000000
87,8.700000,24.782185,11.677426,23.371468,10.375551,25.576050,11.523490,2.842260,1.241431,0.177758,0.000001,0.177758,0.896126,0.000000
88,8.800000,25.034925,11.774900,26.979540,13.412984,25.909475,11.725228,2.850558,1.254518,0.175809,0.000001,0.175809,0.895899,0.000000
89,8.900001,25.151768,11.997808,26.780602,9.616316,26.220009,11.753539,2.854807,1.238316,0.173902,0.000000,0.173903,0.898121,0.000000
90,9.000000,25.409132,12.262647,22.478300,13.532732,26.332285,11.948568,2.826235,1.250060,0.172037,0.000000,0.172037,0.898967,0.000000
91,9.100000,25.675003,12.405455,23.465942,13.443251,26.480919,12.131859,2.804372,1.259570,0.170210,0.000000,0.170210,0.898446,0.000000
92,9.200000,25.840433,12.678350,28.558321,15.323197,26.837019,12.386886,2.816586,1.280403,0.168423,0.000000,0.168422,0.899950,0.000000
93,9.300000,26.276329,12.801361,23.502718,13.956179,26.968000,12.574979,2.792526,1.289993,0.166671,0.000000,0.166671,0.898119,0.000000
94,9.400001,26.534201,12.839480,24.858950,13.739179,27.148762,12.746670,2.776964,1.296739,0.164957,-0.000000,0.164956,0.895207,0.000000
95,9.500000,26.852621,12.948777,26.472570,12.644119,27.387520,12.866865,2.770875,1.295256,0.163276,-0.000000,0.163276,0.891519,0.000000
96,9.600000,27.231661,13.059577,29.046509,14.676189,27.720449,13.064268,2.779516,1.305760,0.161630,-0.000000,0.161630,0.887367,0.000000
97,9.700000,27.584602,13.178041,25.729361,12.544387,27.907637,13.168825,2.765614,1.301774,0.160016,-0.000000,0.160016,0.881610,0.000000
98,9.800000,27.869329,13.345589,26.803726,14.509109,28.129520,13.346936,2.757322,1.309041,0.158434,-0.000000,0.158434,0.875333,0.000000
99,9.900001,28.207397,13.625340,29.563063,11.515430,28.450670,13.400875,2.764139,1.297488,0.156882,-0.000000,0.156883,0.869890,0.000000
